"key","message","comment","context"
"Additional delivery information","Informations supplémentaires pour la livraison",,
"Address","Adresse",,
"Addresses","Adresses",,
"Alpha2 code","Code apha 2",,
"Cities","Villes",,
"City","Ville",,
"Civilities","Civilités",,
"Civility","Civilité",,
"Code",,,
"Computed field","Champ calculé",,
"Configurations",,,
"Countries","Pays",,
"Country","Pays",,
"Documents",,,
"Domain name","Nom de domaine",,
"Duration","Durée",,
"Email address","Adresse email",,
"Email addresses","Adresses email",,
"First name","Prénom",,
"Formation",,,
"Full email","Email complet",,
"Hair (additional facultative attributes)","Chevelure (groupe d'attributs supplémentaires facultatifs)",,
"Human","Humain",,
"M2m test related","M2m relatif de test",,
"M2o test related","M2o relatif de test",,
"Main phone number","Téléphone principal",,
"Matematical tree childs","Enfants d'un arbre mathématique",,
"Multiple links to other objects","Liens multiples vers des objets",,
"Name","Nom",,
"Outdated","Obsolette",,
"Partner","Tiers",,
"Partner type","Type de tiers",,
"Partners","Tiers",,
"Phones","Téléphones",,
"Priority","Priorité",,
"Secondary phone number","Second téléphone",,
"Sequence","Séquence",,
"Simple link to another object","Lien siple vers un autre objet",,
"Status","Statut",,
"Street and number","N° et rue",,
"Teamwork",,,
"The address with the higher priority, among other addresses from the same partner, is considered as the main address of the partner.","L'adresse avec la priorité la plus haute, parmis les addresses du même tiers, est considérée comme l'adresse principale.",,
"The email with the higher priority, among other emails from the same partner, is considered as the main email of the partner.","L'email avec la priorité la plus haute, parmis les emails du même tiers, est considéré comme l'email principal.",,
"This field is a test!","The champ est un test !",,
"To indicate the building, code or any instructions for the deliveries","Pour undiquer le batiment, un code ou d'autres instructions pour les livreurs",,
"Validated?","Validé ?",,
"Validation","Validation",,
"Zip","Code postal",,
"Zips","Codes postaux",,
"completionPercent","Complétion (%)",,
"emailAddress.userName","Radical",,
"important",,,
"limitDateT",,,
"validationDate","Date de validation",,
